X--Trace 1::[A + B],Y--Trace 1::[A + B]
2.01329e-005,0
2.01729e-005,0
2.02129e-005,0
2.02529e-005,0
2.02929e-005,0
2.03329e-005,0
2.03729e-005,0
2.04129e-005,0
2.04529e-005,0
2.04929e-005,0
2.05329e-005,0
2.05729e-005,0
2.06129e-005,0
2.06529e-005,0
2.06929e-005,0
2.07329e-005,0
2.07729e-005,0
2.08129e-005,0
2.08529e-005,0
2.08929e-005,0
2.09329e-005,0
2.09729e-005,0
2.1e-005,0
2.10001e-005,0.5
2.10003e-005,1.5
2.10007e-005,3.5
2.1001e-005,5
2.10011e-005,5
2.10012e-005,5
2.10014e-005,5
2.10018e-005,5
2.10026e-005,5
2.10043e-005,5
2.10077e-005,5
2.1011e-005,5
2.10111e-005,4.5
2.10113e-005,3.5
2.10117e-005,1.5
2.1012e-005,3.96749e-012
2.10121e-005,0
2.10122e-005,0
2.10126e-005,0
2.10132e-005,0
2.10145e-005,0
2.1017e-005,0
2.10222e-005,0
2.10324e-005,0
2.10529e-005,0
2.10929e-005,0
2.11329e-005,0
2.11729e-005,0
2.12129e-005,0
2.12529e-005,0
2.12929e-005,0
2.13329e-005,0
2.13729e-005,0
2.14129e-005,0
2.14529e-005,0
2.14929e-005,0
2.15329e-005,0
2.15729e-005,0
2.16129e-005,0
2.16529e-005,0
2.16929e-005,0
2.17329e-005,0
2.17729e-005,0
2.18129e-005,0
2.18529e-005,0
2.18929e-005,0
2.19329e-005,0
2.19729e-005,0
2.2e-005,0
2.20001e-005,0.5
2.20003e-005,1.5
2.20007e-005,3.5
2.2001e-005,5
2.20011e-005,5
2.20012e-005,5
2.20014e-005,5
2.20018e-005,5
2.20026e-005,5
2.20043e-005,5
2.20077e-005,5
2.2011e-005,5
2.20111e-005,4.5
2.20113e-005,3.5
2.20117e-005,1.5
2.2012e-005,3.96749e-012
2.20121e-005,0
2.20122e-005,0
2.20126e-005,0
2.20132e-005,0
2.20145e-005,0
2.2017e-005,0
2.20222e-005,0
2.20324e-005,0
2.20529e-005,0
2.20929e-005,0
2.21329e-005,0
2.21729e-005,0
2.22129e-005,0
2.22529e-005,0
2.22929e-005,0
2.23329e-005,0
2.23729e-005,0
2.24129e-005,0
2.24529e-005,0
2.24929e-005,0
2.25329e-005,0
2.25729e-005,0
2.26129e-005,0
2.26529e-005,0
2.26929e-005,0
2.27329e-005,0
2.27729e-005,0
2.28129e-005,0
2.28529e-005,0
2.28929e-005,0
2.29329e-005,0
2.29729e-005,0
2.3e-005,0
2.30001e-005,0.5
2.30003e-005,1.5
2.30007e-005,3.5
2.3001e-005,5
2.30011e-005,5
2.30012e-005,5
2.30014e-005,5
2.30018e-005,5
2.30026e-005,5
2.30043e-005,5
2.30077e-005,5
2.3011e-005,5
2.30111e-005,4.5
2.30113e-005,3.5
2.30117e-005,1.5
2.3012e-005,3.96749e-012
2.30121e-005,0
2.30122e-005,0
2.30126e-005,0
2.30132e-005,0
2.30145e-005,0
2.3017e-005,0
2.30222e-005,0
2.30324e-005,0
2.30529e-005,0
2.30929e-005,0
2.31329e-005,0
2.31729e-005,0
2.32129e-005,0
2.32529e-005,0
2.32929e-005,0
2.33329e-005,0
2.33729e-005,0
2.34129e-005,0
2.34529e-005,0
2.34929e-005,0
2.35329e-005,0
2.35729e-005,0
2.36129e-005,0
2.36529e-005,0
2.36929e-005,0
2.37329e-005,0
2.37729e-005,0
2.38129e-005,0
2.38529e-005,0
2.38929e-005,0
2.39329e-005,0
2.39729e-005,0
2.4e-005,0
2.40001e-005,0.5
2.40003e-005,1.5
2.40007e-005,3.5
2.4001e-005,5
2.40011e-005,5
2.40012e-005,5
2.40014e-005,5
2.40018e-005,5
2.40026e-005,5
2.40043e-005,5
2.40077e-005,5
2.4011e-005,5
2.40111e-005,4.5
2.40113e-005,3.5
2.40117e-005,1.5
2.4012e-005,3.96749e-012
2.40121e-005,0
2.40122e-005,0
2.40126e-005,0
2.40132e-005,0
2.40145e-005,0
2.4017e-005,0
2.40222e-005,0
2.40324e-005,0
2.40529e-005,0
